Sales,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US
9.5,73,11,276,120,Bad,42,17,Yes,Yes
11.22,48,16,260,83,Good,65,10,Yes,Yes
10.06,35,10,269,80,Medium,59,12,Yes,Yes
7.4,100,4,466,97,Medium,55,14,Yes,Yes
4.15,64,3,340,128,Bad,38,13,Yes,No
10.81,113,13,501,72,Bad,78,16,No,Yes
6.63,105,0,45,108,Medium,71,15,Yes,No
11.85,81,15,425,120,Good,67,10,Yes,Yes
6.54,110,0,108,124,Medium,76,10,No,No
4.69,113,0,131,124,Medium,76,17,No,Yes
9.01,78,9,150,100,Bad,26,10,No,Yes
11.96,94,4,503,94,Good,50,13,Yes,Yes
3.98,35,2,393,136,Medium,62,18,Yes,No
10.96,28,11,29,86,Good,53,18,Yes,Yes
11.17,117,11,148,118,Good,52,18,Yes,Yes
8.71,95,5,400,144,Medium,76,18,No,No
7.58,32,0,284,110,Good,63,13,Yes,No
12.29,74,13,251,131,Good,52,10,Yes,Yes
13.91,110,0,408,68,Good,46,17,No,Yes
8.73,76,16,58,121,Medium,69,12,Yes,Yes
6.41,90,2,367,131,Medium,35,18,Yes,Yes
12.13,29,12,239,109,Good,62,18,No,Yes
5.08,46,6,497,138,Medium,42,13,Yes,No
5.87,31,0,292,109,Medium,79,10,Yes,No
10.14,119,16,294,113,Bad,42,12,Yes,Yes
14.9,32,0,176,82,Good,54,11,No,No
8.33,115,11,496,131,Good,50,11,No,Yes
5.27,118,0,19,107,Medium,64,17,Yes,No
2.99,74,0,359,97,Bad,55,11,Yes,Yes
7.81,99,15,226,102,Bad,58,17,Yes,Yes
13.55,94,0,447,89,Good,30,12,Yes,No
8.25,58,16,241,131,Medium,44,18,Yes,Yes
6.2,32,12,236,137,Good,64,10,No,Yes
8.77,38,13,317,128,Good,50,16,Yes,Yes
2.67,54,0,406,128,Medium,42,17,Yes,Yes
11.07,84,11,29,96,Medium,44,17,No,Yes
8.89,76,0,270,100,Good,60,18,No,No
4.95,41,5,412,110,Medium,54,10,Yes,Yes
6.59,73,0,454,102,Medium,65,15,Yes,No
3.24,60,0,144,138,Bad,38,10,No,No
2.07,98,0,18,126,Bad,73,17,No,No
7.96,53,0,403,124,Bad,58,16,Yes,No
10.43,69,0,25,24,Medium,50,18,Yes,No
4.12,42,11,16,134,Medium,59,13,Yes,Yes
4.16,79,6,325,95,Medium,69,13,Yes,Yes
4.56,63,0,168,135,Bad,44,12,Yes,Yes
12.44,90,14,16,70,Medium,48,15,No,Yes
4.38,98,0,173,108,Bad,55,16,Yes,No
3.91,52,0,349,98,Bad,69,18,Yes,No
10.61,93,0,51,149,Good,32,17,Yes,No
1.42,32,18,341,108,Bad,80,16,Yes,Yes
4.42,90,0,150,108,Bad,75,16,Yes,No
7.91,40,3,112,129,Bad,39,18,Yes,Yes
6.92,64,13,39,119,Medium,61,17,Yes,Yes
4.9,103,13,25,144,Medium,76,17,No,Yes
6.85,81,5,60,154,Medium,61,18,Yes,Yes
11.91,82,0,54,84,Medium,50,17,Yes,No
0.91,91,0,22,117,Bad,75,11,Yes,No
5.42,93,15,188,103,Bad,74,16,Yes,Yes
